,date_at,mois,product_type,category,country,valeur,loss,reimburse
148,2022-03-31 00:00:00,2022-03,WowSolar Panel 6W,pico,Niger,675000.0,0.0,0.0
149,2022-03-31 00:00:00,2022-03,WowSolar Panel 6W,pico,Senegal,2760000.0,10000.0,5000.0
150,2022-03-31 00:00:00,2022-03,WowSolar TV Screen 19 ,SHS+TV,Burkina,70000.0,0.0,0.0
151,2022-03-31 00:00:00,2022-03,WowSolar TV Screen 19 ,SHS+TV,Mali,280000.0,35000.0,0.0
152,2022-03-31 00:00:00,2022-03,WowSolar TV Screen 19 ,SHS+TV,Niger,595000.0,0.0,0.0
153,2022-03-31 00:00:00,2022-03,WowSolar TV Screen 19 ,SHS+TV,Nigeria,1295000.0,70000.0,35000.0
154,2022-03-31 00:00:00,2022-03,WowSolar TV Screen 19 ,SHS+TV,Senegal,700000.0,0.0,0.0
155,2022-03-31 00:00:00,2022-03,WowSolar TV Screen 22,SHS+TV,Burkina,585000.0,0.0,0.0
156,2022-03-31 00:00:00,2022-03,WowSolar TV Screen 22,SHS+TV,Mali,810000.0,90000.0,0.0
157,2022-03-31 00:00:00,2022-03,WowSolar TV Screen 22,SHS+TV,Nigeria,0.0,0.0,0.0
158,2022-03-31 00:00:00,2022-03,WowSolar TV Screen 22,SHS+TV,Senegal,2520000.0,0.0,45000.0
159,2022-03-31 00:00:00,2022-03,WowSolar USB charger,pico,Burkina,470700.0,10800.0,900.0
160,2022-03-31 00:00:00,2022-03,WowSolar USB charger,pico,Mali,706500.0,22500.0,0.0
161,2022-03-31 00:00:00,2022-03,WowSolar USB charger,pico,Niger,136800.0,0.0,0.0
162,2022-03-31 00:00:00,2022-03,WowSolar USB charger,pico,Nigeria,36000.0,90000.0,10800.0
163,2022-03-31 00:00:00,2022-03,WowSolar USB charger,pico,Senegal,693000.0,2700.0,8100.0
164,2022-03-31 00:00:00,2022-03,WowSolar Wall mount,pico,Burkina,435600.0,4800.0,400.0
165,2022-03-31 00:00:00,2022-03,WowSolar Wall mount,pico,Mali,388000.0,6400.0,0.0
166,2022-03-31 00:00:00,2022-03,WowSolar Wall mount,pico,Niger,60800.0,0.0,0.0
167,2022-03-31 00:00:00,2022-03,WowSolar Wall mount,pico,Nigeria,21200.0,36000.0,3200.0
168,2022-03-31 00:00:00,2022-03,WowSolar Wall mount,pico,Senegal,381600.0,1200.0,1600.0
169,2022-03-31 00:00:00,2022-03,WowSolar100 NG,pico,Nigeria,226487.23,2869357.38,520744.03
170,2022-03-31 00:00:00,2022-03,WowSolar400,pico,Nigeria,0.0,0.0,0.0
171,2022-03-31 00:00:00,2022-03,WowSolar400,pico,Senegal,0.0,0.0,0.0
172,2022-03-31 00:00:00,2022-03,WowSolar60,pico,Burkina,3058510.0,719737.0,275072.0
173,2022-03-31 00:00:00,2022-03,WowSolar60,pico,Mali,22158634.0,305948.0,0.0
174,2022-03-31 00:00:00,2022-03,WowSolar60,pico,Niger,8897229.0,204534.0,0.0
175,2022-03-31 00:00:00,2022-03,WowSolar60,pico,Senegal,3735408.0,94317.0,35983.0
176,2022-03-31 00:00:00,2022-03,WowSolarTV19,pico,Burkina,146079.0,144289.0,0.0
177,2022-03-31 00:00:00,2022-03,WowSolarTV19,pico,Mali,295478.0,0.0,0.0
178,2022-03-31 00:00:00,2022-03,WowSolarTV19,pico,Niger,438237.0,0.0,0.0
179,2022-03-31 00:00:00,2022-03,WowSolarTV19,pico,Senegal,145874.0,286926.0,0.0
180,2022-03-31 00:00:00,2022-03,WowSolarTV19 NG,pico,Nigeria,671655.3,2574678.65,0.0
181,2022-03-31 00:00:00,2022-03,WowSolarTV22,TV22,Mali,155465.0,0.0,0.0
182,2022-03-31 00:00:00,2022-03,WowSolarTV22,pico,Burkina,516109.0,0.0,0.0
183,2022-03-31 00:00:00,2022-03,WowSolarTV22,pico,Mali,5182305.0,0.0,0.0
184,2022-03-31 00:00:00,2022-03,WowSolarTV22,pico,Senegal,2006799.0,855723.0,0.0
185,2022-03-31 00:00:00,2022-03,WowSolarTV32,pico,Burkina,1013145.0,197072.0,410256.0
186,2022-03-31 00:00:00,2022-03,WowSolarTV32,pico,Mali,6926419.0,0.0,0.0
187,2022-03-31 00:00:00,2022-03,WowSolarTV32,pico,Nigeria,0.0,178179.0,0.0
188,2022-03-31 00:00:00,2022-03,WowSolarTV32,pico,Senegal,498296.0,0.0,0.0
189,2022-03-31 00:00:00,2022-03,WowSolarTV32 NG,pico,Nigeria,458595.51,305730.34,0.0
